item_id,type_id,item_name,size,description,weight,volume,sort,tax,tax_price,price,discount,icon,brand,icon,expire_time,amount
44,4,Swisse 蜂胶 210粒 Swisse High Strength Proplis 2000mg,210粒,,1000,100,1,2.1,19,20,1,http://52.63.10.86:8080/image/Swisse_Proplis.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Proplis.jpg,15-05-16,9881
39,4,Swisse 护肝片 120粒 Swisse Liver Detox,120粒,,1000,100,1,1.6,14,15,1,http://52.63.10.86:8080/image/Swisse_Liver_Detox.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Liver_Detox.jpg,15-05-16,397
46,4,Swisse 男性复合维生素 120粒 Swisse Men's Ultivite Tablets,120粒,,1000,100,1,2.5,29.99,31,1,http://52.63.10.86:8080/image/Swisse_men.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_men.jpg,15-05-16,880
47,4,Swisse 小黄瓜卸妆水 300ml Swisse Micellar Makeup Remover,300ml,,1000,100,1,0.65,29.99,31,1,http://52.63.10.86:8080/image/Swisse_makeup.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_makeup.jpg,15-05-16,986
48,4,Swisse 前列康 50粒 Swisse Prostate,50粒,,1000,100,1,2.1,19,20,1,http://52.63.10.86:8080/image/Swisse_Prostate.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Prostate.jpg,15-05-16,875
49,4,Swisse 睡眠片 100粒 Swisse Ultiboost Sleep 100 tablets,100粒,,1000,100,1,1.85,16,18,1,http://52.63.10.86:8080/image/Swisse_Sleep.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Sleep.jpg,15-05-16,782
50,4,Swisse VC泡腾片 60片 Swisse Vitamin C Effervescent Tablets,60片,,1000,100,1,1.5,17,17.5,0,http://52.63.10.86:8080/image/Swisse_Vitamin_C_Effervescent_Tablets.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Vitamin_C_Effervescent_Tablets.jpg,15-05-16,953
51,4,Swisse 女性复合维生素 120粒 Swisse Women's Ultivite Tablets,120粒,,1000,100,1,2.5,29.99,31,1,http://52.63.10.86:8080/image/Swisse_women.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_women.jpg,15-05-16,9822
52,4,Swisse 儿童复合维生素 120粒 Swisse Children's Ultimate,120粒,,1000,100,1,0.99,12.5,14.69,0,http://52.63.10.86:8080/image/Swisse_Childrens_Ultivite_Tablet.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Childrens_Ultivite_Tablet.jpg,0,21
53,4,Swisse 叶绿素 液（绿）500ml Swisse Chlorophyll,500ml,,1000,100,1,1,11.5,12,0,http://52.63.10.86:8080/image/Swisse_Chlorophyll_Mint.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Chlorophyll_Mint.jpg,0,75
54,4,Swisse 叶绿素 液（红）500ml Swisse Chlorophyll,500ml,,1000,100,1,0,11.5,12,0,http://52.63.10.86:8080/image/Swisse_Chlorophyll_Berry.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Chlorophyll_Berry.jpg,0,90
55,4,Swisse 卵磷脂 150粒 Swisse Lecithin,150粒,,1000,100,1,1.7,19,19.99,0,http://52.63.10.86:8080/image/Swisse_Lecithin.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_Lecithin.jpg,0,57
56,4,Swisse 更年期调节片 60粒 Swisse Menopause Balance Tablets,60粒,,1000,100,1,1.99,26.95,26.95,0,http://52.63.10.86:8080/image/Swisse_manopause.jpg,Swisse,http://52.63.10.86:8080/image/Swisse_manopause.jpg,0,88
